Feature,Importance
bun_max,6.6859645503106115
hemoglobin_mean,6.318895648316831
hr_mean,5.407871356828451
hemoglobin_min,5.131345522866342
shock_index_mean,4.670804874560884
rr_mean,4.574568181771388
hr_max,4.5100745127702195
potassium_mean,4.495969419672701
bicarbonate_mean,4.469951150537033
temp_max,4.032361103904324
spo2_mean,3.8819332656699035
sbp_mean,3.632952330228383
potassium_max,3.5388741285221346
bicarbonate_min,3.4382105508646688
lactate_mean,3.3795963744162103
temp_mean,3.376601386788026
map_mean,3.235637126644347
sbp_min,3.227854497629646
sodium_min,3.1823653266722585
map_below65_hours,2.807986200078356
sodium_max,2.764037874339186
map_min,2.6199949750392633
rr_max,2.260833010326065
spo2_min,2.142837552662063
lactate_max,1.9256027280520434
vasopressor_hours,1.8278829925350721
vasopressor_flag,1.5879881114316257
norepi_dose_max,0.8710052465619479
