Metric,Score
Accuracy,0.3808630393996248
Weighted F1,0.4271241290733084
Macro F1,0.2962177790601231
Stage1 Recall,0.3408906882591093
Stage2 Recall,0.08588957055214724
Stage3 Recall,0.8656716417910447
