Feature,Importance
hemoglobin_mean,7.166161324020426
bun_cr_ratio,5.884498149057257
bun_max,5.528134414905446
hemoglobin_min,5.453971268133177
creatinine_max,5.060950656958723
potassium_mean,4.9634372950084735
bicarbonate_mean,4.485388938190446
sodium_max,4.4073370520694795
urine_output_sum,3.983506135761592
urine_output_6h,3.7415188866380493
creatinine_min,3.6526899008951226
creatinine_delta,3.61857302333196
bicarbonate_min,3.609470399517623
sodium_min,3.5309989041432255
potassium_max,3.1590399117502086
rr_mean,2.6035579064701855
spo2_mean,2.4469769361037494
hr_mean,2.2213439730321642
shock_index_mean,2.037895163323048
oliguria_flag,1.9866525435259934
sbp_mean,1.8132371030127934
hr_max,1.8073142372660207
map_mean,1.796475604705238
map_min,1.7800607680270888
temp_max,1.65808479178839
temp_mean,1.6541852651321824
spo2_min,1.5274607438685155
map_below65_hours,1.513070074052051
sbp_min,1.4599789520907904
rr_max,1.3975207077924514
lactate_mean,1.3415349070239098
lactate_max,1.0586344535057965
vasopressor_hours,0.9540987865053392
vasopressor_flag,0.4566008047423931
norepi_dose_max,0.23964001765072437
