Metric,Valid,Test
AUROC,0.6052664946389643,0.585241077846725
AUPRC,0.28502169560411617,0.2673663616832597
F1,0.4127208480565371,0.39571428571428574
S1 Recall,0.3854251012145749,0.3839935327405012
S2+3 Recall,0.8021978021978022,0.7673130193905817
