Feature,Importance
hemoglobin_mean,0.20669772
hemoglobin_min,0.07145915
potassium_max,0.058514312
hr_max,0.04674225
spo2_mean,0.042505022
map_below65_hours,0.038575858
rr_mean,0.036883563
bun_max,0.03397545
map_min,0.033273056
map_mean,0.031087764
shock_index_mean,0.030604448
hr_mean,0.02952258
lactate_max,0.027559472
norepi_dose_max,0.026926799
potassium_mean,0.026087128
rr_max,0.024513012
bicarbonate_min,0.024224259
temp_max,0.023911716
lactate_mean,0.023654278
bicarbonate_mean,0.023566965
sodium_max,0.02319648
temp_mean,0.022964729
sbp_min,0.022250013
sbp_mean,0.021483326
sodium_min,0.021257443
vasopressor_hours,0.015141787
spo2_min,0.013421383
vasopressor_flag,0.0
