Accuracy,Weighted_F1,Macro_F1,Stage1_Recall,Stage2_Recall,Stage3_Recall,Model,Precision,Recall,F1
0.4618272841051314,,,,,,"MODELING_stage1,(2+3)_01_XGBoost",0.2666043030869972,0.7894736842105263,0.3986013986013986
0.4668335419274093,,,,,,"workspace_aki(2)_MODELING_stage1,(2+3)_02_CatBoost",0.2672985781990521,0.7811634349030471,0.3983050847457627
0.4599499374217772,,,,,,"MODELING_stage1,(2+3)_02_CatBoost",0.2649812734082397,0.7839335180055401,0.3960811756473058
0.458072590738423,,,,,,"workspace_aki(2)_MODELING_stage1,(2+3)_01_XGBoost",0.2642390289449113,0.7839335180055401,0.3952513966480447
0.3839899937460913,0.431557888116405,0.2997823502136521,0.3449392712550607,0.0920245398773006,0.8606965174129353,"MODELING_stage1,2,3_02_modeling_2단계_XGBoost",,,
0.383364602876798,0.4297791348910754,0.2951633197519333,0.3449392712550607,0.0797546012269938,0.8656716417910447,"MODELING_stage1,2,3_02_modeling_2단계_XGBoost",,,
