threshold,precision,recall,specificity
0.1,0.5039113428943938,0.9668542839274546,0.6801176965111392
0.11,0.5340314136125655,0.9568480300187617,0.7194199243379571
0.12,0.5675877520537714,0.9505941213258287,0.7566204287515763
0.13,0.5984158415841584,0.9449656035021888,0.7868852459016393
0.13999999999999999,0.6316898440792246,0.9374609130706691,0.8163093736864229
0.14999999999999997,0.6575704225352113,0.9343339587242027,0.8364859184531316
0.15999999999999998,0.6801099908340972,0.9280800500312696,0.8532997057587222
0.16999999999999998,0.7018544935805991,0.9230769230769231,0.8682219419924337
0.17999999999999997,0.7245804540967423,0.9180737961225766,0.8827238335435057
0.18999999999999995,0.745676500508647,0.9168230143839899,0.8949138293400588
0.19999999999999996,0.7617065556711758,0.9155722326454033,0.9037410676754939
0.20999999999999996,0.7796791443850267,0.9118198874296435,0.9134089953762085
0.21999999999999995,0.7938931297709924,0.9105691056910569,0.9205548549810845
0.22999999999999995,0.8053541550474066,0.9030644152595372,0.9266498528793611
0.23999999999999994,0.8178206583427923,0.9011882426516573,0.9325346784363178
0.24999999999999992,0.8269120184013801,0.8993120700437773,0.9367381252627154
0.2599999999999999,0.8408425980105325,0.8986866791744841,0.942833123160992
0.2699999999999999,0.8506224066390041,0.8974358974358975,0.9470365699873896
0.2799999999999999,0.8569718731298623,0.8955597248280175,0.9497688104245481
0.2899999999999999,0.8646525679758308,0.8949343339587242,0.9529213955443464
0.29999999999999993,0.871638141809291,0.8918073796122576,0.9558638083228247
0.30999999999999994,0.8777022853613342,0.8886804252657912,0.9583858764186634
0.3199999999999999,0.8819875776397516,0.8880550343964978,0.9600672551492223
0.32999999999999985,0.8883312421580929,0.8855534709193246,0.962589323245061
0.33999999999999986,0.8947368421052632,0.8824265165728581,0.9651113913408995
0.34999999999999987,0.900577293136626,0.8780487804878049,0.9674232870954182
0.3599999999999999,0.9090909090909091,0.8755472170106317,0.9705758722152165
0.3699999999999999,0.9118798955613577,0.8736710444027517,0.9716267339218159
0.3799999999999999,0.9139855548260013,0.8705440900562852,0.9724674232870955
0.3899999999999999,0.9162269129287599,0.8686679174484052,0.9733081126523749
0.3999999999999998,0.9215946843853821,0.8674171357098186,0.9751996637242539
0.4099999999999998,0.924,0.8667917448405253,0.9760403530895334
0.4199999999999998,0.928763440860215,0.8642901813633521,0.9777217318200925
0.4299999999999998,0.9318028359216746,0.8630393996247655,0.9787725935266919
0.43999999999999984,0.9342372881355933,0.8617886178861789,0.9796132828919715
0.44999999999999984,0.9386084583901774,0.8605378361475923,0.9810844892812106
0.45999999999999985,0.9404109589041096,0.8586616635397123,0.9817150063051703
0.46999999999999986,0.9442916093535075,0.8586616635397123,0.9829760403530895
0.47999999999999976,0.9487889273356401,0.8574108818011257,0.9844472467423288
0.48999999999999977,0.9520166898470097,0.8561601000625391,0.9854981084489282
0.4999999999999998,0.9572829131652661,0.8549093183239524,0.9871794871794872
0.5099999999999998,0.9591836734693877,0.8524077548467792,0.9878100042034468
0.5199999999999998,0.96045197740113,0.8505315822388994,0.9882303488860866
0.5299999999999998,0.9617292700212615,0.8486554096310194,0.9886506935687264
0.5399999999999998,0.9630419331911869,0.8474046278924328,0.9890710382513661
0.5499999999999998,0.9643874643874644,0.8467792370231395,0.9894913829340058
0.5599999999999997,0.9656897784131523,0.8449030644152595,0.9899117276166457
0.5699999999999997,0.9670722977809592,0.8449030644152595,0.9903320722992854
0.5799999999999997,0.9676491732566499,0.841776110068793,0.9905422446406053
0.5899999999999997,0.9690424766018718,0.841776110068793,0.9909625893232451
0.5999999999999998,0.969718817591925,0.8411507191994997,0.9911727616645649
0.6099999999999998,0.9696531791907514,0.8392745465916197,0.9911727616645649
0.6199999999999998,0.9724238026124818,0.8380237648530331,0.9920134510298445
0.6299999999999997,0.9731104651162791,0.8373983739837398,0.9922236233711643
0.6399999999999997,0.9744525547445255,0.8348968105065666,0.9926439680538042
0.6499999999999997,0.9758418740849195,0.83364602876798,0.9930643127364439
0.6599999999999997,0.9764705882352941,0.8305190744215134,0.9932744850777637
0.6699999999999997,0.9779086892488954,0.8305190744215134,0.9936948297604036
0.6799999999999997,0.9786135693215339,0.8298936835522202,0.9939050021017234
0.6899999999999997,0.9807692307692307,0.8292682926829268,0.994535519125683
0.6999999999999996,0.9814677538917717,0.8280175109443402,0.994745691467003
0.7099999999999996,0.9835943325876212,0.8248905565978737,0.9953762084909626
0.7199999999999996,0.984304932735426,0.8236397748592871,0.9955863808322825
0.7299999999999996,0.9857677902621723,0.8230143839899937,0.9960067255149222
0.7399999999999997,0.986496624156039,0.8223889931207005,0.9962168978562421
0.7499999999999997,0.9872372372372372,0.8223889931207005,0.996427070197562
0.7599999999999997,0.9887218045112782,0.8223889931207005,0.9968474148802018
0.7699999999999997,0.9901960784313726,0.8211382113821138,0.9972677595628415
0.7799999999999997,0.9909228441754917,0.8192620387742339,0.9974779319041615
0.7899999999999996,0.991672975018925,0.8192620387742339,0.9976881042454813
0.7999999999999996,0.9916540212443096,0.817385866166354,0.9976881042454813
0.8099999999999996,0.9923954372623575,0.8161350844277674,0.9978982765868012
0.8199999999999996,0.9923664122137404,0.8130081300813008,0.9978982765868012
0.8299999999999996,0.9923605805958747,0.8123827392120075,0.9978982765868012
0.8399999999999996,0.9931192660550459,0.8123827392120075,0.998108448928121
0.8499999999999996,0.9938650306748467,0.8105065666041276,0.9983186212694409
0.8599999999999995,0.9938603223330775,0.8098811757348343,0.9983186212694409
0.8699999999999996,0.9946070878274268,0.8073796122576611,0.9985287936107609
0.8799999999999996,0.9946029298380878,0.8067542213883677,0.9985287936107609
0.8899999999999996,0.9946029298380878,0.8067542213883677,0.9985287936107609
0.8999999999999996,0.9946029298380878,0.8067542213883677,0.9985287936107609
