trial,auprc
0,0.9460399424229402
1,0.9453102720557811
2,0.9488433196484459
3,0.9466979012671161
4,0.9470042916300682
5,0.9470489914898321
6,0.9476154390687878
7,0.9486938632109811
8,0.9480703429483537
9,0.9489626160014937
10,0.9473141334162324
11,0.9482657771124327
12,0.948465686839425
13,0.9467533911003728
14,0.9479815130881041
15,0.9481529267708796
16,0.9446144394393339
17,0.946828049776498
18,0.9472313148927597
19,0.9487221352735771
20,0.947951867666304
21,0.9484203279611118
22,0.9479624792135658
23,0.9482054380099286
24,0.9482877398484094
25,0.9480776611895486
26,0.947854515496682
27,0.9484305763183345
28,0.9479188356981473
29,0.9479358636982845
