Feature,Importance
map_below65_hours,0.07669521
bicarbonate_min,0.063194916
potassium_max,0.06162674
bun_max,0.05571561
hemoglobin_mean,0.0483356
map_min,0.048245385
sodium_min,0.043971326
vasopressor_flag,0.03981142
map_mean,0.037217934
bicarbonate_mean,0.035860926
hemoglobin_min,0.03528218
hr_max,0.035152826
temp_max,0.03340364
sodium_max,0.03167836
rr_mean,0.031116115
rr_max,0.029606935
lactate_max,0.028795747
hr_mean,0.028335776
potassium_mean,0.028168777
temp_mean,0.02505756
sbp_min,0.02497297
spo2_mean,0.024287073
norepi_dose_max,0.023025915
spo2_min,0.022807922
sbp_mean,0.022613656
shock_index_mean,0.022549901
lactate_mean,0.022398276
vasopressor_hours,0.020071214
