Metric,Score
Accuracy,0.3883677298311445
Weighted F1,0.43417177573421706
Macro F1,0.2936690708763355
Stage1 Recall,0.35384615384615387
Stage2 Recall,0.06748466257668712
Stage3 Recall,0.8606965174129353
