Metric,Score
Accuracy,0.37398373983739835
Weighted F1,0.4200277086654687
Macro F1,0.2944611094824623
Stage1 Recall,0.3327935222672065
Stage2 Recall,0.09815950920245399
Stage3 Recall,0.8507462686567164
