Metric,Score
Accuracy,0.41088180112570355
Weighted F1,0.45852006771249665
Macro F1,0.30312891447829826
Stage1 Recall,0.3854251012145749
Stage2 Recall,0.05521472392638037
Stage3 Recall,0.8557213930348259
