Feature,Importance
urine_output_sum,0.11760813
urine_output_6h,0.095228784
creatinine_delta,0.07566938
creatinine_max,0.04664037
creatinine_min,0.036392033
hr_mean,0.0325281
bun_max,0.029742088
sodium_min,0.02938561
hemoglobin_min,0.02928732
map_min,0.028586091
potassium_max,0.026056157
bicarbonate_min,0.02475929
map_below65_hours,0.023919286
rr_mean,0.02364394
hemoglobin_mean,0.023636028
sodium_max,0.022543538
oliguria_flag,0.022317838
bicarbonate_mean,0.020626698
temp_max,0.020529483
vasopressor_flag,0.020463439
lactate_max,0.019762162
hr_max,0.01943661
potassium_mean,0.01854464
spo2_min,0.018349854
rr_max,0.018101271
shock_index_mean,0.017503029
temp_mean,0.017169526
bun_cr_ratio,0.017057832
spo2_mean,0.016727991
map_mean,0.015591589
lactate_mean,0.015525514
norepi_dose_max,0.014576493
vasopressor_hours,0.014288055
sbp_mean,0.014014332
sbp_min,0.01378746
