Feature,Importance
bun_cr_ratio,7.007660384409589
hemoglobin_min,6.667037592920105
potassium_mean,6.425773484929108
bun_max,6.0389371718647045
hemoglobin_mean,5.994134137565228
creatinine_max,5.70848847987132
bicarbonate_mean,4.966836377663051
sodium_max,4.688709301884511
urine_output_sum,4.447204602924406
sodium_min,3.9599121820738743
creatinine_min,3.9480682849142252
bicarbonate_min,3.7034745938607685
potassium_max,3.6039429789845547
creatinine_delta,3.4102612867286437
urine_output_6h,3.3225648405417734
rr_mean,2.241166651103034
spo2_mean,2.239387640913997
hr_mean,2.228585891328051
oliguria_flag,1.953109924195878
shock_index_mean,1.6499671340562376
sbp_mean,1.6424231213005593
map_mean,1.570724267320095
map_below65_hours,1.5390339971947362
temp_mean,1.37160718116716
hr_max,1.2993782531477034
temp_max,1.1664079356414068
spo2_min,1.1473615335436473
lactate_mean,1.1160547026360366
map_min,1.092832124252414
rr_max,1.0555761480150152
sbp_min,0.8247553138956112
lactate_max,0.8014259270393642
vasopressor_hours,0.5974044492595574
vasopressor_flag,0.33752412624889894
norepi_dose_max,0.23226797660472254
