Metric,Score
Accuracy,0.3877423389618512
Weighted F1,0.43635639958509337
Macro F1,0.30471024784771517
Stage1 Recall,0.3497975708502024
Stage2 Recall,0.09815950920245399
Stage3 Recall,0.8557213930348259
