Feature,Importance
urine_output_6h,0.05624888
urine_output_sum,0.04025415
creatinine_max,0.036307834
hemoglobin_min,0.032698423
hemoglobin_mean,0.0324834
vasopressor_flag,0.030967634
hr_mean,0.029815089
bun_max,0.028962169
bicarbonate_mean,0.02850226
hr_max,0.028277228
bicarbonate_min,0.02781942
map_min,0.027761009
spo2_mean,0.027537532
creatinine_min,0.027530974
potassium_max,0.02748483
rr_mean,0.027258884
map_below65_hours,0.027192576
potassium_mean,0.02716222
map_mean,0.026700886
bun_cr_ratio,0.026536599
sbp_min,0.026448032
temp_max,0.026160823
vasopressor_hours,0.026114251
sbp_mean,0.02607538
spo2_min,0.026059365
rr_max,0.025877671
sodium_max,0.02560248
lactate_max,0.025535576
creatinine_delta,0.025487829
temp_mean,0.025376769
norepi_dose_max,0.02516992
lactate_mean,0.024874859
sodium_min,0.024761539
shock_index_mean,0.024588434
oliguria_flag,0.02436509
